0,1,10,11,2,3,4,5,7,8,9,Primary Contact City,Program Start Date,Program Title,Program Tuition Fee,Semester Description,day,level,semester,time,type,year
Springtime Tulips in Watercolor Workshop with Liz Fusco,4/15,,,2025,,,,Tuesday,Spring,10am-2pm,Melville,2025-04-15,"['Springtime Tulips in Watercolor Workshop with Liz Fusco ', ' Tuesday 4/15 ', ' Spring 2025', ' 10am-2pm ']",144.0,Spring 2025,Tuesday,,Spring ,10am-2pm,Visual Arts,2025
Intermediate Wheel Throwing with Jesus Antoshka,2025,,,10am-1pm,,,,Spring,Fridays,4/25-5/30,Muttontown,2025-04-25,"['Intermediate Wheel Throwing with Jesus Antoshka ', ' Spring 2025', ' Fridays 10am-1pm ', ' 4/25-5/30 ']",448.0,Spring 2025,Friday,Intermediate,Spring ,10am-1pm,Pottery,2025
Springtime Tulips in Watercolor Workshop with Liz Fusco,4/15,,,2025,,,,Tuesday,Spring,10am-2pm,Amityville,2025-04-15,"['Springtime Tulips in Watercolor Workshop with Liz Fusco ', ' Tuesday 4/15 ', ' Spring 2025', ' 10am-2pm ']",144.0,Spring 2025,Tuesday,,Spring ,10am-2pm,Visual Arts,2025
Intermediate Watercolor with Liz Fusco,9am-11am,,,2025,,,,Tues,Summer,6/3-7/8,Amityville,2025-06-03,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Summer 2025', ' 6/3-7/8 ']",280.0,Summer 2025,Tuesday,Intermediate,Summer ,9am-11am,Visual Arts,2025
Ceramics 101 with Sara Daly,6-9pm,,,2025,-5/27,,,Tues,Spring,4/22,East Northport,2025-04-22,"['Ceramics 101 with Sara Daly ', ' Tues 6-9pm ', ' Spring 2025', ' 4/22 - 5/27 ']",448.0,Spring 2025,Tuesday,,Spring ,6-9pm,Pottery,2025
Springtime Tulips in Watercolor Workshop with Liz Fusco,4/15,,,2025,,,,Tuesday,Spring,10am-2pm,,2025-04-15,"['Springtime Tulips in Watercolor Workshop with Liz Fusco ', ' Tuesday 4/15 ', ' Spring 2025', ' 10am-2pm ']",144.0,Spring 2025,Tuesday,,Spring ,10am-2pm,Visual Arts,2025
Springtime Tulips in Watercolor Workshop with Liz Fusco,4/15,,,2025,,,,Tuesday,Spring,10am-2pm,Northport,2025-04-15,"['Springtime Tulips in Watercolor Workshop with Liz Fusco ', ' Tuesday 4/15 ', ' Spring 2025', ' 10am-2pm ']",144.0,Spring 2025,Tuesday,,Spring ,10am-2pm,Visual Arts,2025
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2025,,,,Tuesdays,Spring,4/22-5/27,Melville,2025-04-22,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Spring 2025', ' 4/22-5/27 ']",252.0,Spring 2025,Tuesday,,Spring ,1:30-3:30pm,Visual Arts,2025
Thursdays 2-5pm,Painting:AcrylicswithKevinLarkin,,,2025,-5/29,,,Abstract,Spring,4/24,Kings Park,2025-04-24,"['Thursdays 2-5pm', 'Abstract Painting: Acrylics with Kevin Larkin ', ' Spring 2025', ' 4/24 - 5/29 ']",450.0,Spring 2025,Thursday,,Spring ,Thursdays 2-5pm,Visual Arts,2025
Tues 5:30-7:00pm,Cartooning&RealisticDrawingwithLoriHochberg,4/22-5/27,,2025,8-12,,,Creative,Spring,Ages,,2025-04-22,"['Tues 5:30-7:00pm', 'Creative Cartooning & Realistic Drawing with Lori Hochberg ', ' Spring 2025', ' Ages 8-12 ', ' 4/22-5/27 ']",245.0,Spring 2025,Tuesday,,Spring ,Tues 5:30-7:00pm,Visual Arts,2025
Figure Construction & Anatomy with Stu Yellin,6:00-9:00pm,,,2025,,,,Thursdays,Spring,4/24-5/29,West Babylon,2025-04-24,"['Figure Construction & Anatomy with Stu Yellin ', ' Thursdays 6:00-9:00pm ', ' Spring 2025', ' 4/24-5/29 ']",225.0,Spring 2025,Thursday,,Spring ,6:00-9:00pm,Visual Arts,2025
Open Studio Long Poses,1pm-4pm,,,2025,-5/27,,,Tue,Spring,4/22,Holbrook,2025-04-22,"['Open Studio Long Poses', ' Tue 1pm-4pm ', ' Spring 2025', ' 4/22 - 5/27 ']",206.0,Spring 2025,Tuesday,,Spring ,1pm-4pm,Visual Arts,2025
Springtime Tulips in Watercolor Workshop with Liz Fusco,4/15,,,2025,,,,Tuesday,Spring,10am-2pm,Seaford,2025-04-15,"['Springtime Tulips in Watercolor Workshop with Liz Fusco ', ' Tuesday 4/15 ', ' Spring 2025', ' 10am-2pm ']",144.0,Spring 2025,Tuesday,,Spring ,10am-2pm,Visual Arts,2025
Handbuilding - Plan to Technique with Laura Peters,1-4pm,,,2025,,,,Wed,Spring,4/23-5/28,Islip Terrace,2025-04-23,"['Handbuilding - Plan to Technique with Laura Peters ', ' Wed 1-4pm ', ' Spring 2025', ' 4/23-5/28 ']",448.0,Spring 2025,Wednesday,,Spring ,1-4pm,Sculpture,2025
Advanced World of Watercolor with Ross Barbera,2025,,,9:30am-12:30pm,,,,Spring,Fri,4/25-5/30,Huntington,2025-04-25,"['Advanced World of Watercolor with Ross Barbera ', ' Spring 2025', ' Fri 9:30am-12:30pm ', ' 4/25-5/30 ']",430.0,Spring 2025,Friday,Advanced,Spring ,9:30am-12:30pm,Visual Arts,2025
Ceramics Open Studio,6pm-9pm,,,,,,,Thursdays,4/10,,Plainview,2025-04-10,"['Ceramics Open Studio ', ' Thursdays 6pm-9pm ', ' 4/10']",35.0,Spring 2025,Thursday,,Spring ,6pm-9pm,Pottery,2025
Ribbon Weaving Workshop & Studio Tour with Sally Shore and Nancy Yoshii,5/1411am-2pm,,,2025,,,,Wednesday,Spring,,,2025-05-14,"['Ribbon Weaving Workshop & Studio Tour with Sally Shore and Nancy Yoshii ', ' Wednesday 5/14 11am-2pm', ' Spring 2025']",0.0,Spring 2025,Wednesday,,Spring ,5/1411am-2pm,Visual Arts,2025
Ceramics Open Studio,6pm-9pm,,,,,,,Thursdays,4/10,,Huntington Station,2025-04-10,"['Ceramics Open Studio ', ' Thursdays 6pm-9pm ', ' 4/10']",35.0,Spring 2025,Thursday,,Spring ,6pm-9pm,Pottery,2025
Ceramics Open Studio,6pm-9pm,,,,,,,Thursdays,4/17,,Huntington Station,2025-04-17,"['Ceramics Open Studio ', ' Thursdays 6pm-9pm ', ' 4/17']",35.0,Spring 2025,Thursday,,Spring ,6pm-9pm,Pottery,2025
Open Studio w/Model - Short Pose,10:30am-1:30pm,4/24,,2025,Gottlieb,-5/29,,Thurs,Spring,Linda,Huntington Station,2025-04-24,"['Open Studio w/Model - Short Pose ', ' Thurs 10:30am-1:30pm ', ' Spring 2025', ' Linda Gottlieb ', ' 4/24 - 5/29 ']",206.0,Spring 2025,Thursday,,Spring ,10:30am-1:30pm,Visual Arts,2025
Ceramics Open Studio,2025,,,11am-2pm,,,,Spring,Mondays,4/13,Melville,2025-04-13,"['Ceramics Open Studio ', ' Spring 2025', ' Mondays 11am-2pm ', ' 4/13 ']",35.0,Spring 2025,Monday,,Spring ,11am-2pm,Pottery,2025
Ceramics Open Studio,2025,,,11am-2pm,,,,Spring,Mondays,4/14,Melville,2025-04-14,"['Ceramics Open Studio ', ' Spring 2025', ' Mondays 11am-2pm ', ' 4/14 ']",35.0,Spring 2025,Monday,,Spring ,11am-2pm,Pottery,2025
Thursdays 2-5pm,Painting:AcrylicswithKevinLarkin,,,2025,-5/29,,,Abstract,Spring,4/24,GLEN HEAD,2025-04-24,"['Thursdays 2-5pm', 'Abstract Painting: Acrylics with Kevin Larkin ', ' Spring 2025', ' 4/24 - 5/29 ']",450.0,Spring 2025,Thursday,,Spring ,Thursdays 2-5pm,Visual Arts,2025
Mastering the Fundamentals of Wheel with Ruth Lowenberg,6-9pm,,,2025,,,,Wednesdays,Spring,4/23-5/28,Northport,2025-04-23,"['Mastering the Fundamentals of Wheel with Ruth Lowenberg ', ' Wednesdays 6-9pm ', ' Spring 2025', ' 4/23-5/28 ']",448.0,Spring 2025,Wednesday,,Spring ,6-9pm,Pottery,2025
All Levels Ceramics with Ruth Lowenberg,9:30am-12:30pm,,,2025,-5/29,,,Thursdays,Spring,4/24,Northport,2025-04-24,"['All Levels Ceramics with Ruth Lowenberg ', ' Thursdays 9:30am - 12:30pm ', ' Spring 2025', ' 4/24 - 5/29 ']",448.0,Spring 2025,Thursday,All Levels,Spring ,9:30am-12:30pm,Pottery,2025
Thursdays 2-5pm,Painting:AcrylicswithKevinLarkin,,,2025,-5/29,,,Abstract,Spring,4/24,East Northport,2025-04-24,"['Thursdays 2-5pm', 'Abstract Painting: Acrylics with Kevin Larkin ', ' Spring 2025', ' 4/24 - 5/29 ']",450.0,Spring 2025,Thursday,,Spring ,Thursdays 2-5pm,Visual Arts,2025
Ceramics Open Studio,2025,,,11am-2pm,,,,Spring,Mondays,4/14,Northport,2025-04-14,"['Ceramics Open Studio ', ' Spring 2025', ' Mondays 11am-2pm ', ' 4/14 ']",35.0,Spring 2025,Monday,,Spring ,11am-2pm,Pottery,2025
Advanced World of Watercolor with Ross Barbera,2025,,,9:30am-12:30pm,,,,Spring,Fri,4/25-5/30,Bayport,2025-04-25,"['Advanced World of Watercolor with Ross Barbera ', ' Spring 2025', ' Fri 9:30am-12:30pm ', ' 4/25-5/30 ']",430.0,Spring 2025,Friday,Advanced,Spring ,9:30am-12:30pm,Visual Arts,2025
Advanced World of Watercolor with Ross Barbera,2025,,,9:30am-12:30pm,,,,Spring,Fri,4/25-5/30,Greenlawn,2025-04-25,"['Advanced World of Watercolor with Ross Barbera ', ' Spring 2025', ' Fri 9:30am-12:30pm ', ' 4/25-5/30 ']",430.0,Spring 2025,Friday,Advanced,Spring ,9:30am-12:30pm,Visual Arts,2025
Ceramics Open Studio,2025,,,1pm-4pm,,,,Spring,Saturdays,4/12,Huntington,2025-04-12,"['Ceramics Open Studio ', ' Spring 2025', ' Saturdays 1pm-4pm ', ' 4/12 ']",35.0,Spring 2025,Saturday,,Spring ,1pm-4pm,Pottery,2025
Intermediate Wheel Throwing with Jesus Antoshka,2025,,,10am-1pm,,,,Spring,Fridays,4/25-5/30,Huntington,2025-04-25,"['Intermediate Wheel Throwing with Jesus Antoshka ', ' Spring 2025', ' Fridays 10am-1pm ', ' 4/25-5/30 ']",448.0,Spring 2025,Friday,Intermediate,Spring ,10am-1pm,Pottery,2025
All Levels Ceramics with Ruth Lowenberg,9:30am-12:30pm,,,2025,-5/29,,,Thursdays,Spring,4/24,Old Bethpage,2025-04-24,"['All Levels Ceramics with Ruth Lowenberg ', ' Thursdays 9:30am - 12:30pm ', ' Spring 2025', ' 4/24 - 5/29 ']",448.0,Spring 2025,Thursday,All Levels,Spring ,9:30am-12:30pm,Pottery,2025
The Painter's Path with David Peikon,2025,,,10am-1pm,-5/29,,,Spring,Thursdays,5/1,Northport,2025-05-01,"[""The Painter's Path with David Peikon "", 'Spring 2025', ' Thursdays 10am-1pm ', ' 5/1 - 5/29 ']",345.0,Spring 2025,Thursday,,Spring ,10am-1pm,Visual Arts,2025
Beginner Watercolor with Liz Fusco,6:30-8:30pm,,,2025,,,,Tues,Spring,6/3-7/8,Blue Point,2025-06-03,"['Beginner Watercolor with Liz Fusco ', ' Tues 6:30-8:30pm ', ' Spring 2025', ' 6/3-7/8 ']",280.0,Summer 2025,Tuesday,Beginner,Summer ,6:30-8:30pm,Visual Arts,2025
Intermediate & Advanced Wheel Throwing with Jesus Antoshka,2025,,,10am-1pm,,,,Spring,Saturdays,4/26-5/31,Melville,2025-04-26,"['Intermediate & Advanced Wheel Throwing with Jesus Antoshka ', ' Spring 2025', ' Saturdays 10am-1pm  ', ' 4/26-5/31 ']",448.0,Spring 2025,Saturday,Intermediate,Spring ,10am-1pm,Pottery,2025
The Painter's Path with David Peikon,2025,,,10am-1pm,-5/29,,,Spring,Thursdays,5/1,Dix Hills,2025-05-01,"[""The Painter's Path with David Peikon "", 'Spring 2025', ' Thursdays 10am-1pm ', ' 5/1 - 5/29 ']",345.0,Spring 2025,Thursday,,Spring ,10am-1pm,Visual Arts,2025
Springtime Tulips in Watercolor Workshop with Liz Fusco,4/15,,,2025,,,,Tuesday,Spring,10am-2pm,Garden City,2025-04-15,"['Springtime Tulips in Watercolor Workshop with Liz Fusco ', ' Tuesday 4/15 ', ' Spring 2025', ' 10am-2pm ']",144.0,Spring 2025,Tuesday,,Spring ,10am-2pm,Visual Arts,2025
Pre-College Portfolio Figure Drawing with Stephanie Folk,7:00-9:00,,,2025,-5/27,,,Tuesdays,Spring,4/22,Huntington,2025-04-22,"['Pre-College Portfolio Figure Drawing with Stephanie Folk ', ' Tuesdays 7:00-9:00', ' Spring 2025', ' 4/22 - 5/27  ']",376.0,Spring 2025,Tuesday,,Spring ,,Visual Arts,2025
Book and Brush Painting with Rachel Woelfel,2025,4/26-5/31,,11:30am-12:30pm,5-7,,,Spring,Saturdays,Ages,Huntington Station,2025-04-26,"['Book and Brush Painting with Rachel Woelfel ', ' Spring 2025', ' Saturdays 11:30am-12:30pm ', ' Ages 5-7 ', ' 4/26-5/31  ']",175.0,Spring 2025,Saturday,,Spring ,11:30am-12:30pm,Visual Arts,2025
Ceramics Open Studio,2025,,,1pm-4pm,,,,Spring,Saturdays,4/12,Dix Hills,2025-04-12,"['Ceramics Open Studio ', ' Spring 2025', ' Saturdays 1pm-4pm ', ' 4/12 ']",35.0,Spring 2025,Saturday,,Spring ,1pm-4pm,Pottery,2025
Atelier Drawing and Painting with Bill Graf,2025,,,9:30am-12:30pm,,,,Spring,Saturdays,4/26-5/31,Halesite,2025-04-26,"['Atelier Drawing and Painting with Bill Graf ', ' Spring 2025', ' Saturdays 9:30am-12:30pm ', ' 4/26-5/31 ']",473.0,Spring 2025,Saturday,,Spring ,9:30am-12:30pm,Visual Arts,2025
Atelier Drawing and Painting with Bill Graf,2025,,,9:30am-12:30pm,,,,Spring,Saturdays,4/26-5/31,Miller place,2025-04-26,"['Atelier Drawing and Painting with Bill Graf ', ' Spring 2025', ' Saturdays 9:30am-12:30pm ', ' 4/26-5/31 ']",473.0,Spring 2025,Saturday,,Spring ,9:30am-12:30pm,Visual Arts,2025
Mastering the Fundamentals of Wheel with Ruth Lowenberg,6-9pm,,,2025,,,,Wednesdays,Spring,4/23-5/28,Northport,2025-04-23,"['Mastering the Fundamentals of Wheel with Ruth Lowenberg ', ' Wednesdays 6-9pm ', ' Spring 2025', ' 4/23-5/28 ']",448.0,Spring 2025,Wednesday,,Spring ,6-9pm,Pottery,2025
Summer Art Adventure,Two:July21-August01,,,ArtistsAges11-12,,,,Session,Mature,,East Northport,2025-07-21,"['Summer Art Adventure ', ' Session Two: July 21- August 01', ' Mature Artists Ages 11-12 ']",1046.0,SAA 2025,,,SAA ,,EVERYTHING,2025
"SAA - Young Artists Ages 6-8, Week 3 ""Enchanted “Sea” Kingdom"", 7/21-7/25",,,,,,,,,,,East Northport,2025-07-21,"['SAA - Young Artists Ages 6-8, Week 3 ""Enchanted “Sea” Kingdom"", 7/21-7/25']",591.0,SAA 2025,,,SAA ,,EVERYTHING,2025
Handbuilding with Linda Southard,6-9pm,,,2025,,,,Thurs,Spring,4/24-5/29,Deer Park,2025-04-24,"['Handbuilding with Linda Southard ', ' Thurs 6-9 pm ', ' Spring 2025', ' 4/24-5/29 ']",448.0,Spring 2025,Thursday,,Spring ,6-9pm,Sculpture,2025
Oil Painting From Life with Chris Hanson,6-9pm,,,2025,,,,Wed,Spring,4/30-5/28,Deer Park,2025-04-30,"['Oil Painting From Life with Chris Hanson ', ' Wed 6-9pm', ' Spring 2025', ' 4/30-5/28']",345.0,Spring 2025,Wednesday,,Spring ,6-9pm,Visual Arts,2025
Advanced World of Watercolor with Ross Barbera,2025,,,9:30am-12:30pm,,,,Spring,Fri,4/25-5/30,Huntington,2025-04-25,"['Advanced World of Watercolor with Ross Barbera ', ' Spring 2025', ' Fri 9:30am-12:30pm ', ' 4/25-5/30 ']",430.0,Spring 2025,Friday,Advanced,Spring ,9:30am-12:30pm,Visual Arts,2025
Mixed Media Potluck Workshop with Derek Owens,2025,,,5/241-4pm,,,,Spring,Saturday,,Hauppauge,2025-05-24,"['Mixed Media Potluck Workshop with Derek Owens ', ' Spring 2025', ' Saturday 5/24 1-4pm']",55.0,Spring 2025,Saturday,,Spring ,5/241-4pm,Visual Arts,2025
Advanced World of Watercolor with Ross Barbera,2025,,,9:30am-12:30pm,,,,Spring,Fri,4/25-5/30,Dix Hills,2025-04-25,"['Advanced World of Watercolor with Ross Barbera ', ' Spring 2025', ' Fri 9:30am-12:30pm ', ' 4/25-5/30 ']",430.0,Spring 2025,Friday,Advanced,Spring ,9:30am-12:30pm,Visual Arts,2025
Figure Construction & Anatomy with Stu Yellin,6:00-9:00pm,,,2025,,,,Thursdays,Spring,4/24-5/29,Smithtown,2025-04-24,"['Figure Construction & Anatomy with Stu Yellin ', ' Thursdays 6:00-9:00pm ', ' Spring 2025', ' 4/24-5/29 ']",225.0,Spring 2025,Thursday,,Spring ,6:00-9:00pm,Visual Arts,2025
Springtime Tulips in Watercolor Workshop with Liz Fusco,4/15,,,2025,,,,Tuesday,Spring,10am-2pm,Central Islip,2025-04-15,"['Springtime Tulips in Watercolor Workshop with Liz Fusco ', ' Tuesday 4/15 ', ' Spring 2025', ' 10am-2pm ']",144.0,Spring 2025,Tuesday,,Spring ,10am-2pm,Visual Arts,2025
"Create Nights - ""Stop! Motion"" Moderated by Rob Stenzel",5/28,,,,,,,Wednesday,7pm-9pm,,West Babylon,2025-05-28,"['Create Nights - ""Stop! Motion"" Moderated by Rob Stenzel ', ' Wednesday 5/28 ', ' 7pm-9pm']",0.0,Spring 2025,Wednesday,,Spring ,7pm-9pm,Visual Arts,2025
"Create Nights - ""Movies and Motion"" Moderated by Rob Stenzel",4/30,,,,,,,Wednesday,7pm-9pm,,East Northport,2025-04-30,"['Create Nights - ""Movies and Motion"" Moderated by Rob Stenzel ', ' Wednesday 4/30 ', ' 7pm-9pm']",0.0,Spring 2025,Wednesday,,Spring ,7pm-9pm,Visual Arts,2025
"Create Nights - ""Stop! Motion"" Moderated by Rob Stenzel",5/28,,,,,,,Wednesday,7pm-9pm,,East Northport,2025-05-28,"['Create Nights - ""Stop! Motion"" Moderated by Rob Stenzel ', ' Wednesday 5/28 ', ' 7pm-9pm']",0.0,Spring 2025,Wednesday,,Spring ,7pm-9pm,Visual Arts,2025
The Painter's Path with David Peikon,2025,,,10am-1pm,-5/29,,,Spring,Thursdays,5/1,Centerport,2025-05-01,"[""The Painter's Path with David Peikon "", 'Spring 2025', ' Thursdays 10am-1pm ', ' 5/1 - 5/29 ']",345.0,Spring 2025,Thursday,,Spring ,10am-1pm,Visual Arts,2025
Landscape and Nature Photography with Keith Krejci,6:30-8:30pm,,,2025,,,,Wed,Spring,4/23-5/28,Westbury,2025-04-23,"['Landscape and Nature Photography with Keith Krejci ', ' Wed 6:30-8:30pm ', ' Spring 2025', ' 4/23-5/28 ']",280.0,Spring 2025,Wednesday,,Spring ,6:30-8:30pm,Visual Arts,2025
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2025,,,,Tuesdays,Spring,4/22-5/27,Northport,2025-04-22,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Spring 2025', ' 4/22-5/27 ']",252.0,Spring 2025,Tuesday,,Spring ,1:30-3:30pm,Visual Arts,2025
Fundamentals of Drawing with Liz Fusco,11:30am-1:30pm,,,2025,,,,Tuesdays,Spring,5/6-5/27,Southold,2025-05-06,"['Fundamentals of Drawing with Liz Fusco ', ' Tuesdays 11:30am-1:30pm ', ' Spring 2025', ' 5/6-5/27 ']",194.0,Spring 2025,Tuesday,,Spring ,11:30am-1:30pm,Visual Arts,2025
Intermediate Watercolor with Liz Fusco,9am-11am,,,2025,,,,Tues,Spring,5/6-5/27,Huntington Station,2025-05-06,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Spring 2025', ' 5/6-5/27 ']",194.0,Spring 2025,Tuesday,Intermediate,Spring ,9am-11am,Visual Arts,2025
Handbuilding - Plan to Technique with Laura Peters,1-4pm,,,2025,,,,Wed,Spring,4/23-5/28,Huntington,2025-04-23,"['Handbuilding - Plan to Technique with Laura Peters ', ' Wed 1-4pm ', ' Spring 2025', ' 4/23-5/28 ']",448.0,Spring 2025,Wednesday,,Spring ,1-4pm,Sculpture,2025
Tues 5:30-7:00pm,Cartooning&RealisticDrawingwithLoriHochberg,4/22-5/27,,2025,8-12,,,Creative,Spring,Ages,Bellport,2025-04-22,"['Tues 5:30-7:00pm', 'Creative Cartooning & Realistic Drawing with Lori Hochberg ', ' Spring 2025', ' Ages 8-12 ', ' 4/22-5/27 ']",245.0,Spring 2025,Tuesday,,Spring ,Tues 5:30-7:00pm,Visual Arts,2025
Painting Bold with Watercolor Workshop with Antonio Masi,2025,,,5/3&5/10,am-2pm,,,Spring,Saturdays,10,East Rockaway,2025-05-03,"['Painting Bold with Watercolor Workshop with Antonio Masi ', ' Spring 2025', ' Saturdays  5/3 & 5/10 ', ' 10 am - 2 pm ']",270.0,Spring 2025,Saturday,,Spring ,am-2pm,Visual Arts,2025
Intermediate Watercolor with Liz Fusco,9am-11am,,,2025,,,,Tues,Spring,5/6-5/27,Glen Head,2025-05-06,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Spring 2025', ' 5/6-5/27 ']",194.0,Spring 2025,Tuesday,Intermediate,Spring ,9am-11am,Visual Arts,2025
Intermediate Watercolor with Liz Fusco,9am-11am,,,2025,,,,Tues,Spring,5/6-5/27,Huntington,2025-05-06,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Spring 2025', ' 5/6-5/27 ']",194.0,Spring 2025,Tuesday,Intermediate,Spring ,9am-11am,Visual Arts,2025
Open Studio w/Model - Short Pose,10:30am-1:30pm,4/24,,2025,Gottlieb,-5/29,,Thurs,Spring,Linda,NORTHPORT,2025-04-24,"['Open Studio w/Model - Short Pose ', ' Thurs 10:30am-1:30pm ', ' Spring 2025', ' Linda Gottlieb ', ' 4/24 - 5/29 ']",206.0,Spring 2025,Thursday,,Spring ,10:30am-1:30pm,Visual Arts,2025
Intermediate Watercolor with Liz Fusco,9am-11am,,,2025,,,,Tues,Spring,5/6-5/27,West Islip,2025-05-06,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Spring 2025', ' 5/6-5/27 ']",194.0,Spring 2025,Tuesday,Intermediate,Spring ,9am-11am,Visual Arts,2025
Open Studio w/Model - Short Pose,6pm-9pm,4/24,,2025,Gottlieb,-5/29,,Weds,Spring,Linda,Copiague,2025-04-23,"['Open Studio w/Model - Short Pose ', ' Weds 6pm-9pm ', ' Spring 2025', ' Linda Gottlieb ', ' 4/24 - 5/29 ']",206.0,Spring 2025,Wednesday,,Spring ,6pm-9pm,Visual Arts,2025
Mastering the Fundamentals of Wheel with Ruth Lowenberg,6-9pm,,,2025,,,,Wednesdays,Spring,4/23-5/28,Cutchogue,2025-04-23,"['Mastering the Fundamentals of Wheel with Ruth Lowenberg ', ' Wednesdays 6-9pm ', ' Spring 2025', ' 4/23-5/28 ']",448.0,Spring 2025,Wednesday,,Spring ,6-9pm,Pottery,2025
Mixed Media Potluck Workshop with Derek Owens,2025,,,4/261-4pm,,,,Spring,Saturday,,Greenlawn,2025-04-26,"['Mixed Media Potluck Workshop with Derek Owens ', ' Spring 2025', ' Saturday 4/26 1-4pm']",55.0,Spring 2025,Saturday,,Spring ,4/261-4pm,Visual Arts,2025
Mixed Media Potluck Workshop with Derek Owens,2025,,,4/261-4pm,,,,Spring,Saturday,,Columbia,2025-04-26,"['Mixed Media Potluck Workshop with Derek Owens ', ' Spring 2025', ' Saturday 4/26 1-4pm']",55.0,Spring 2025,Saturday,,Spring ,4/261-4pm,Visual Arts,2025
Color Theory Workshop with Liz Fusco,2024,,,10am-2pm,,,,Summer,Saturday,6/21,Huntington Station,2025-06-21,"['Color Theory Workshop with Liz Fusco ', ' Summer 2024', ' Saturday 10am-2pm ', ' 6/21 ']",60.0,Summer 2025,Saturday,,Summer ,10am-2pm,Visual Arts,2025
Fundamentals of Drawing with Liz Fusco,11:30am-1:30pm,,,2025,,,,Tuesdays,Spring,5/6-5/27,Dix Hills,2025-05-06,"['Fundamentals of Drawing with Liz Fusco ', ' Tuesdays 11:30am-1:30pm ', ' Spring 2025', ' 5/6-5/27 ']",194.0,Spring 2025,Tuesday,,Spring ,11:30am-1:30pm,Visual Arts,2025
Beginner Watercolor with Liz Fusco,6:30-8:30pm,,,2025,,,,Tues,Spring,5/6-5/27,Stony Brook,2025-05-06,"['Beginner Watercolor with Liz Fusco ', ' Tues 6:30-8:30pm ', ' Spring 2025', ' 5/6-5/27 ']",194.0,Spring 2025,Tuesday,Beginner,Spring ,6:30-8:30pm,Visual Arts,2025
Summer Art Adventure,One:July7-18,,,ArtistsAges13-14,,,,Session,Mature,,Caldwell,2025-07-07,"['Summer Art Adventure ', ' Session One: July 7-18', ' Mature Artists Ages 13-14 ']",1046.0,SAA 2025,,,SAA ,,EVERYTHING,2025
Summer Art Adventure,One:July7-18,,,ArtistsAges13-14,,,,Session,Mature,,Caldwell,2025-07-07,"['Summer Art Adventure ', ' Session One: July 7-18', ' Mature Artists Ages 13-14 ']",1046.0,SAA 2025,,,SAA ,,EVERYTHING,2025
Precollege Portfolio with Stephanie Folk,1HumanAnatomy,,,,-3pm,,,Session,7/8-7/11,10am,Holtsville,2025-07-08,"['Precollege Portfolio with Stephanie Folk ', ' Session 1 Human Anatomy ', ' 7/8-7/11 ', ' 10am - 3pm']",550.0,SAA 2025,,,SAA ,10am,Visual Arts,2025
Precollege Portfolio with Stephanie Folk,1HumanAnatomy,,,,-3pm,,,Session,7/8-7/11,10am,Holtsville,2025-07-08,"['Precollege Portfolio with Stephanie Folk ', ' Session 1 Human Anatomy ', ' 7/8-7/11 ', ' 10am - 3pm']",550.0,SAA 2025,,,SAA ,10am,Visual Arts,2025
Precollege Portfolio with Stephanie Folk,2Portraiture&Movement,,,,-3pm,,,Session,7/15-7/18,10am,Holtsville,2025-07-15,"['Precollege Portfolio with Stephanie Folk ', ' Session 2 Portraiture & Movement ', ' 7/15-7/18 ', ' 10am - 3pm']",550.0,SAA 2025,,,SAA ,10am,Visual Arts,2025
Precollege Portfolio with Stephanie Folk,2Portraiture&Movement,,,,-3pm,,,Session,7/15-7/18,10am,Holtsville,2025-07-15,"['Precollege Portfolio with Stephanie Folk ', ' Session 2 Portraiture & Movement ', ' 7/15-7/18 ', ' 10am - 3pm']",550.0,SAA 2025,,,SAA ,10am,Visual Arts,2025
Junk Journaling Workshop with Mary Elizabeth Andriotis,5/76-9pm,,,2025,,,,Wednesday,Spring,,Cold Spring Harbor,2025-05-07,"['Junk Journaling Workshop with Mary Elizabeth Andriotis ', ' Wednesday 5/7 6-9pm', ' Spring 2025']",55.0,Spring 2025,Wednesday,,Spring ,5/76-9pm,Writing,2025
Tues 5:30-7:00pm,Cartooning&RealisticDrawingwithLoriHochberg,4/22-5/27,,2025,8-12,,,Creative,Spring,Ages,,2025-04-22,"['Tues 5:30-7:00pm', 'Creative Cartooning & Realistic Drawing with Lori Hochberg ', ' Spring 2025', ' Ages 8-12 ', ' 4/22-5/27 ']",245.0,Spring 2025,Tuesday,,Spring ,Tues 5:30-7:00pm,Visual Arts,2025
Intermediate Watercolor with Liz Fusco,9am-11am,,,2025,,,,Tues,Spring,5/6-5/27,Freeport,2025-05-06,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Spring 2025', ' 5/6-5/27 ']",194.0,Spring 2025,Tuesday,Intermediate,Spring ,9am-11am,Visual Arts,2025
